Date,Open,High,Low,Close,Volume
22-05-2025,109632.6,111834.1,109281.8,110737.8,140000.0
21-05-2025,106814.7,110628.8,106109.5,109640.1,124170.0
20-05-2025,105586.1,107270.5,104199.3,106815.8,76080.0
19-05-2025,106507.7,107081.3,102088.2,105585.8,90490.0
18-05-2025,103113.9,106577.0,103113.9,106504.5,62470.0
17-05-2025,103473.9,103712.3,102626.5,103112.6,37430.0
16-05-2025,103764.6,104544.1,103126.5,103480.5,53270.0
15-05-2025,103513.2,104153.8,101436.8,103765.4,59680.0
14-05-2025,104116.3,104316.0,102632.9,103513.9,55580.0
13-05-2025,102794.9,104972.9,101510.2,104119.2,71910.0
12-05-2025,104119.2,105765.2,100766.8,102795.0,90210.0
11-05-2025,104748.3,104930.9,103358.8,104119.2,54760.0
10-05-2025,102974.7,104969.8,102837.2,104798.0,48420.0
09-05-2025,103270.7,104308.7,102365.7,102975.1,87340.0
08-05-2025,97035.1,103885.4,96901.9,103274.3,110600.0
07-05-2025,96817.9,97647.5,95798.4,97035.1,59980.0
06-05-2025,94745.9,96893.9,93408.8,96825.4,55760.0
05-05-2025,94314.6,95206.8,93590.8,94745.2,59210.0
04-05-2025,95885.5,96297.8,94206.1,94316.9,41310.0
03-05-2025,96894.3,96922.2,95785.5,95885.8,36240.0
02-05-2025,96497.3,97881.8,96359.3,96894.4,51940.0
01-05-2025,94181.3,97394.3,94168.1,96499.3,74560.0
30-04-2025,94265.0,95223.4,93049.6,94184.4,57100.0
29-04-2025,94995.4,95453.4,93758.0,94269.8,59860.0
28-04-2025,93742.5,95580.3,92818.9,94995.0,73630.0
27-04-2025,94631.4,95324.4,93640.7,93742.5,36660.0
26-04-2025,94669.3,95207.0,93891.8,94631.4,33770.0
25-04-2025,93979.4,95718.6,92867.2,94676.9,92040.0
24-04-2025,93696.3,94001.0,91673.0,93980.3,66680.0
23-04-2025,93442.2,94462.6,91963.4,93697.7,90350.0
22-04-2025,87516.0,93816.9,87105.2,93441.9,130169.99999999999
21-04-2025,85179.0,88449.6,85148.8,87516.0,98500.0
20-04-2025,85075.5,85321.0,83976.1,85179.0,32080.0
19-04-2025,84472.4,85604.3,84366.5,85068.1,32070.0
18-04-2025,84947.7,85106.1,84331.0,84474.6,25830.0
17-04-2025,84032.2,85467.3,83786.2,84940.0,49280.0
16-04-2025,83648.1,85438.2,83143.5,84032.2,63970.0
15-04-2025,84586.8,86438.8,83602.7,83647.0,62450.0
14-04-2025,83752.8,85794.9,83705.2,84586.4,78030.0
13-04-2025,85282.5,85999.5,83049.6,83734.4,70930.0
12-04-2025,83420.5,85893.5,82828.0,85292.7,55600.0
11-04-2025,79606.1,84275.0,79004.2,83413.1,94620.0
10-04-2025,82606.8,82737.5,78495.8,79607.5,92830.0
09-04-2025,76312.3,83566.7,74657.3,82607.0,172180.0
08-04-2025,79166.7,80839.8,76255.0,76312.5,93880.0
07-04-2025,78406.6,81095.9,74524.2,79162.5,170570.0
06-04-2025,83528.0,83731.7,77171.1,78391.3,79170.0
05-04-2025,83876.0,84249.3,82384.4,83552.1,32710.0
04-04-2025,83160.2,84704.1,81691.1,83866.7,91540.0
03-04-2025,82522.6,83908.9,81313.8,83159.4,83150.0
02-04-2025,85166.0,88377.3,82358.9,82525.0,104050.0
01-04-2025,82548.6,85506.2,82435.8,85164.2,66720.0
31-03-2025,82375.4,83895.6,81300.1,82548.8,61760.0
30-03-2025,82646.8,83532.9,81593.2,82371.6,35370.0
29-03-2025,84412.1,84603.4,81668.2,82645.7,39340.0
28-03-2025,87209.5,87507.5,83596.7,84410.4,85250.0
27-03-2025,86937.0,87751.4,85844.4,87228.2,56490.0
26-03-2025,87349.8,88276.7,85866.4,86912.0,62040.0
25-03-2025,87495.3,88523.3,86328.5,87404.0,75240.0
24-03-2025,86076.1,88740.2,85541.6,87490.0,95710.0
23-03-2025,83840.2,86082.0,83812.7,86077.4,31130.0
22-03-2025,84076.6,84526.3,83688.2,83840.5,20840.0
21-03-2025,84208.7,84831.0,83215.9,84073.3,42800.0
20-03-2025,86841.3,87419.0,83656.1,84208.1,69860.0
19-03-2025,82719.1,86990.6,82557.5,86841.0,84610.0
18-03-2025,84019.1,84019.1,81171.3,82719.1,58170.0
17-03-2025,82580.3,84729.2,82525.0,84019.1,58040.0
16-03-2025,84341.3,84942.5,82014.2,82578.4,50040.0
15-03-2025,83978.7,84679.5,83636.4,84341.3,38400.0
14-03-2025,81103.5,85286.6,80833.2,83977.1,81230.0
13-03-2025,83664.7,84292.0,79954.9,81100.2,79250.0
12-03-2025,82921.1,84266.5,80646.6,83664.3,88610.0
11-03-2025,78579.7,83572.6,76677.1,82921.1,123590.0
10-03-2025,80702.2,83902.8,77480.5,78575.9,120230.0
